id,name,sex
Harry,Harry Potter,1
Hermine ,Hermine Granger,2
Ron,Ron Weasley,1
Hagrid,Rubeus Hagrid ,1
Dumbledore,Albus Dumbledore,1
Mc Gonagall,Minerva Mc Gonagall,2
Malfoy,Dracos Malfoy,1
Voldemort,Lord Voldemort,1
